year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Manhattan,Times Square Tower  7 Times Square,Manhattan_Penn Plaza/Times Square South_New York_Times Square Tower  7 Times Square_7 Times Sq,7 Times Sq,Northeast,New York,NY,10036.0,Penn Plaza/Times Square South,A,41986.0,"Hawkins, Delafield & Wood",Legal Services,New,Midtown,351458,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,1.0,San Francisco,Salesforce Tower,San Francisco_Financial District South_San Francisco_Salesforce Tower_415 Mission St,415 Mission St,West,San Francisco,CA,94105.0,Financial District South,A,78414.0,Covington & Burling,Legal Services,New,,6549700,New,CBD,44952535.0,4245116.0,0.0944355195986166,68.8091479767104,67.0997658941117,,,,,,,,,1147511.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,1.0,Washington D.C.,2000 K Street,Washington D.C._Central Business District_Washington_2000 K Street_2000 K St NW,2000 K St NW,Northeast,Washington,DC,20006.0,Central Business District,A,35090.0,Pepper Hamilton,Legal Services,New,,9392600,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Large,Legal_Services_Large
2018,Q1,1.0,Washington D.C.,Columbia Square,Washington D.C._East End_Washington_Columbia Square_555 13th St NW,555 13th St NW,Northeast,Washington,DC,20004.0,East End,A,53785.0,Hogan Lovells,Legal Services,Expansion,,129262,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Atlanta,1355 Peachtree,Atlanta_Midtown_Atlanta_1355 Peachtree_1355 Peachtree St NE,1355 Peachtree St NE,South,Atlanta,GA,30309.0,Midtown,A,89277.0,"Swift, Currie, Mcghee & Hiers",Legal Services,Expansion,,441796,,CBD,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Atlanta,Monarch Plaza,Atlanta_Buckhead_Atlanta_Monarch Plaza_3414 Peachtree Rd NE,3414 Peachtree Rd NE,South,Atlanta,GA,30326.0,Buckhead,A,50000.0,"Baker, Donelson, Bearman, Caldwell & Berkowitz",Legal Services,Restructure,,440958,Relet,CBD,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Los Angeles,KPMG Center,Los Angeles_Downtown LA_Los Angeles_KPMG Center_550 S Hope St,550 S Hope St,West,Los Angeles,CA,90071.0,Downtown LA,A,33491.0,Dla Piper,Legal Services,New,,248705,New,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Manhattan,3173 W 51st St,Manhattan_Plaza South_New York_3173 W 51st St_1290 Avenue of the Americas,1290 Avenue of the Americas,Northeast,New York,NY,10104.0,Plaza South,A,51553.0,Selendy & Gay Pllc,Legal Services,New,Midtown,157098,Sublet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Manhattan,One Manhattan West,Manhattan_Hudson Yards_New York_One Manhattan West_1 Manhattan West,1 Manhattan West,Northeast,New York,NY,10001.0,Hudson Yards,A,32584.0,Mckool Smith,Legal Services,Expansion,Midtown,157187,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Large,Legal_Services_Large
2018,Q1,2.0,Manhattan,Times Square Tower  7 Times Square,Manhattan_Penn Plaza/Times Square South_New York_Times Square Tower  7 Times Square_7 Times Sq,7 Times Sq,Northeast,New York,NY,10036.0,Penn Plaza/Times Square South,A,70754.0,Brown Rudnick,Legal Services,Renewal,Midtown,351458,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,2018-Q1,Large,Legal_Services_Large
