year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,year-quarter,company_size,industry_size
2018,Q1,1.0,Atlanta,,Atlanta_Midtown_Atlanta_NA_10 10th St,10 10th St,South,Atlanta,GA,30309.0,Midtown,A,3311.0,Tek Systems,"Technology, Advertising, Media, and Information",New,,579178,Relet,CBD,101140416.0,20239067.0,0.200108599513769,27.6558911686799,24.3456893335581,,,,,,,,,1205126.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Boston,University Office Bldg,Boston_Route 495/Mass Pike West_Natick_University Office Bldg_190 N Main St,190 N Main St,Northeast,Natick,MA,1760.0,Route 495/Mass Pike West,O,2952.0,SAIC,"Technology, Advertising, Media, and Information",Renewal,Route 495 Corridor,214633,Relet,Suburban,116186937.0,14486098.0,0.124679231366604,20.1477247904417,32.409955936499,,,,,,,,,934610.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Chicago Suburbs,Corporetum III,Chicago Suburbs_East-West Corridor_Lisle_Corporetum III_750 Warrenville Rd,750 Warrenville Rd,Midwest/Central,Lisle,IL,60532.0,East-West Corridor,A,5164.0,IDG,"Technology, Advertising, Media, and Information",New,,204356,Relet,Suburban,54362692.0,14511067.0,0.26693061852051,26.3269727942067,23.1447656290899,,,,,,,,,645808.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Chicago Suburbs,Gateway Executive Park,Chicago Suburbs_Northwest Corridor_Schaumburg_Gateway Executive Park_1827 Walden Office Sq,1827 Walden Office Sq,Midwest/Central,Schaumburg,IL,60173.0,Northwest Corridor,O,2277.0,American Marketing & Publishing,"Technology, Advertising, Media, and Information",New,,144792,Relet,Suburban,46619476.0,12280805.0,0.263426491537571,19.6066862272914,23.1447656290899,,,,,,,,,495329.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Denver,Platte River Rowing Club Bldg,Denver_LoDo / Platte / RiNo_Denver_Platte River Rowing Club Bldg_1740-1830 Platte St,1740-1830 Platte St,Midwest/Central,Denver,CO,80202.0,LoDo / Platte / RiNo,O,2791.0,Doordash,"Technology, Advertising, Media, and Information",New,Downtown Denver,393620,Relet,CBD,,,,,,,,,,,,,,,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Detroit,Earhart Corporate Center,Detroit_Ann Arbor_Ann Arbor_Earhart Corporate Center_2211 Old Earhart Rd,2211 Old Earhart Rd,Midwest/Central,Ann Arbor,MI,48105.0,Ann Arbor,A,3531.0,Infor,"Technology, Advertising, Media, and Information",TBD,Washtenaw,651560,,Suburban,34423167.0,6565982.0,0.190743112044281,20.9981865703684,18.7494093179193,,,,,,,,,435687.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Manhattan,1 Trinity Centre,Manhattan_WTC/Brookfield Place_New York_1 Trinity Centre_111 Broadway,111 Broadway,Northeast,New York,NY,10006.0,WTC/Brookfield Place,O,4059.0,Grapeshot,"Technology, Advertising, Media, and Information",Renewal,Downtown,157451,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Manhattan,120 Crosby St,Manhattan_Soho_New York_120 Crosby St_584-590 Broadway,584-590 Broadway,Northeast,New York,NY,10012.0,Soho,O,7857.0,Littlstar,"Technology, Advertising, Media, and Information",Renewal and Expansion,Midtown South,158140,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Manhattan,153157 W 23rd St,Manhattan_Chelsea_New York_153157 W 23rd St_155 W 23rd St,155 W 23rd St,Northeast,New York,NY,10011.0,Chelsea,O,6933.0,Ripple,"Technology, Advertising, Media, and Information",New,Midtown South,157967,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
2018,Q1,1.0,Manhattan,3638 W 25th St,Manhattan_Flatiron_New York_3638 W 25th St_36 W 25th St,36 W 25th St,Northeast,New York,NY,10010.0,Flatiron,O,5000.0,Flightpath,"Technology, Advertising, Media, and Information",,Midtown South,157731,Sublet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,2018-Q1,Small,Technology_Advertising_Media_and_Information_Small
